Q2,W,SYS_int2,Vz,minPCAL,BE,ThPhi,fidDC,fidPCAL,sysSF,BCC_sys,RC_sys,ET_sys,SYS_SecDepen,SYS_MomCorr,SYS_Smearing,SYS_UnfProc,Total
2.7737,1.15,0.939,0.8441,0.0013,0.0033,0.0,0.5719,0.7954,0.0346,0.437,2.289,0.363,5.5161,1.699,2.6174,2.0339,7.2401
2.7737,1.2,0.7515,0.7164,0.0007,0.0053,0.0,0.4565,0.8551,0.0179,1.349,0.722,0.298,4.5895,1.1632,0.1497,0.5187,5.2111
2.7737,1.25,0.8268,0.6255,0.0007,0.0022,0.0,0.3602,0.8849,0.0139,0.632,0.33,0.279,2.8538,0.1033,0.8319,0.037,3.3797
2.7737,1.3,0.9435,0.6484,0.0005,0.0017,0.0,0.3158,0.906,0.0173,0.106,0.433,0.287,2.2199,0.1248,0.0745,0.8905,2.8731
2.7737,1.35,0.9877,0.6559,0.0009,0.0011,0.0,0.279,0.8742,0.0173,0.835,0.436,0.41,2.8653,0.2544,0.5462,1.0746,3.6099
2.7737,1.4,1.0182,0.6011,0.0011,0.0005,0.0,0.1992,0.8509,0.0163,0.105,0.344,0.361,3.5879,0.3814,0.3623,0.4653,3.9734
2.7737,1.45,1.0052,0.5229,0.0008,0.0019,0.0,0.1396,0.8744,0.0167,1.058,0.666,0.343,3.2707,0.4579,0.1355,0.3579,3.8474
2.7737,1.5,0.9872,0.4726,0.0004,0.0032,0.0,0.2726,0.9308,0.009,1.307,0.417,0.376,2.1737,0.0905,0.2388,0.8321,3.1056
2.7737,1.55,1.0245,0.5343,0.0004,0.0015,0.0,0.3341,0.9381,0.006,1.376,1.146,0.294,1.9791,0.2621,0.0507,0.2799,3.1123
2.7737,1.6,1.094,0.5655,0.0002,0.0003,0.0,0.199,0.8918,0.0065,0.104,0.177,0.316,2.6524,0.0715,0.1743,0.6474,3.1597
2.7737,1.65,1.1175,0.5252,0.0004,0.0011,0.0,0.1198,0.8665,0.0052,0.0,0.955,0.393,2.7214,0.2632,0.0811,0.148,3.2955
2.7737,1.7,0.955,0.5037,0.0003,0.0005,0.0,0.2569,0.8956,0.0024,0.51,0.173,0.31,1.8812,0.0779,0.1939,0.0233,2.4501
2.7737,1.75,0.6938,0.5328,0.0004,0.0033,0.0,0.2819,0.9161,0.0042,0.733,0.27,0.332,1.4208,0.1173,0.1101,0.3282,2.1346
2.7737,1.8,0.5648,0.58,0.0005,0.0022,0.0,0.3195,0.9074,0.0059,0.623,0.0,0.364,1.6908,0.0533,0.1162,0.0131,2.2309
2.7737,1.85,0.6216,0.5809,0.0009,0.0006,0.0,0.29,0.8922,0.0025,0.103,0.0,0.34,1.5972,0.1053,0.0949,0.0518,2.0746
2.7737,1.9,0.6563,0.5742,0.0008,0.0017,0.0,0.1922,0.822,0.0036,0.206,0.091,0.291,1.6014,0.1039,0.0551,0.003,2.0462
2.7737,1.95,0.6976,0.5477,0.0009,0.0024,0.0,0.2983,0.7834,0.003,0.516,0.274,0.374,1.6248,0.2186,0.072,0.0011,2.1595
2.7737,2.0,0.7214,0.5613,0.0005,0.0037,0.0,0.2962,0.8207,0.0021,0.827,0.275,0.381,1.7925,0.0818,0.0287,0.053,2.3927
2.7737,2.05,0.778,0.5665,0.0004,0.0009,0.0002,0.2703,0.8329,0.0014,0.0,0.093,0.393,1.6025,0.205,0.0656,0.0236,2.1145
2.7737,2.1,0.8244,0.6028,0.0006,0.0014,0.0001,0.2427,0.8011,0.0002,0.205,0.093,0.371,1.5196,0.0819,0.0989,0.0266,2.0636
2.7737,2.15,0.7967,0.5775,0.0008,0.0008,0.0001,0.2819,0.7642,0.0008,0.41,0.094,0.376,1.4294,0.1627,0.0653,0.0151,2.006
2.7737,2.2,0.4216,0.5739,0.0009,0.0014,0.0002,0.2616,0.745,0.0036,0.412,0.095,0.382,1.312,0.0868,0.0281,0.05,1.7853
2.7737,2.25,0.1946,0.5931,0.001,0.0018,0.0003,0.2608,0.7334,0.0038,0.205,0.191,0.382,1.3732,0.122,0.0291,0.094,1.7692
2.7737,2.3,0.2395,0.5674,0.001,0.0056,0.0,0.2364,0.7056,0.0028,0.103,0.096,0.366,1.6383,0.1532,0.0037,0.0471,1.9485
2.7737,2.35,0.3029,0.5583,0.0009,0.0019,0.0002,0.2038,0.6604,0.0026,0.205,0.097,0.383,1.4876,0.1381,0.0332,0.052,1.8207
2.7737,2.4,0.3623,0.5714,0.0014,0.0028,0.0004,0.1639,0.6384,0.0015,0.102,0.0,0.373,1.2655,0.1462,0.016,0.0499,1.6332
2.7737,2.45,0.3963,0.5586,0.0012,0.0026,0.0002,0.1914,0.6235,0.0015,0.102,0.098,0.342,1.5601,0.1652,0.0218,0.0581,1.8699
2.7737,2.5,0.4341,0.5704,0.0009,0.0008,0.0014,0.1183,0.5942,0.0011,0.205,0.099,0.342,1.7469,0.0918,0.0254,0.1202,2.031
3.2435,1.15,1.224,0.7983,0.0002,0.0018,0.0002,0.31,0.013,0.0191,0.534,2.399,0.368,6.904,1.211,2.574,2.4483,8.3761
3.2435,1.2,1.0481,0.7268,0.0002,0.0032,0.0002,0.2424,0.0133,0.0161,1.116,0.886,0.397,5.3647,0.7246,0.0228,0.1495,5.7621
3.2435,1.25,1.0189,0.6531,0.0003,0.0045,0.0001,0.1577,0.0102,0.025,0.0,0.412,0.388,3.9434,0.1885,0.7519,0.332,4.2511
3.2435,1.3,1.0356,0.6521,0.0006,0.0029,0.0001,0.1255,0.0126,0.0311,0.31,0.429,0.26,3.2462,0.0997,0.162,0.4367,3.5535
3.2435,1.35,1.1189,0.6585,0.0007,0.0033,0.0003,0.0809,0.0133,0.0291,0.511,0.345,0.456,3.4798,0.2271,0.464,1.2823,4.0375
3.2435,1.4,1.1601,0.6331,0.0003,0.0022,0.0001,0.0256,0.0171,0.0296,0.0,0.256,0.311,3.573,0.4179,0.3251,0.4307,3.8914
3.2435,1.45,1.1238,0.5546,0.0007,0.0018,0.0,0.0784,0.0154,0.0266,0.729,0.661,0.368,3.1387,0.321,0.1248,0.1204,3.5589
3.2435,1.5,1.0194,0.5075,0.0013,0.0045,0.0002,0.1098,0.0108,0.0139,0.697,0.331,0.342,2.3891,0.1028,0.2659,0.7233,2.8868
3.2435,1.55,0.8205,0.5264,0.0012,0.0054,0.0005,0.1274,0.0051,0.0082,0.725,1.137,0.336,2.3954,0.1416,0.0628,0.085,2.944
3.2435,1.6,0.581,0.5426,0.0006,0.0015,0.0001,0.117,0.0057,0.005,0.0,0.176,0.333,2.8512,0.0855,0.2099,0.4202,3.024
3.2435,1.65,0.3602,0.51,0.0005,0.0006,0.0003,0.1598,0.0162,0.0037,0.613,0.862,0.371,2.4652,0.1247,0.0893,0.0566,2.7886
