Q2,W,BCC_iter3_reversed,RC_iter3_reversed,ET,Combination
2.7596,1.15,1.101,0.882,0.955,0.9834390916524042
2.7596,1.2,1.031,0.776,0.967,1.2086653934224605
2.7596,1.25,1.053,0.803,0.968,1.1448047977728344
2.7596,1.3,1.056,0.845,0.963,1.0792092522861754
2.7596,1.35,1.054,0.853,0.966,1.0744531522853817
2.7596,1.4,1.049,0.841,0.964,1.092711591017548
2.7596,1.45,1.05,0.82,0.97,1.126596980255517
2.7596,1.5,1.014,0.819,0.971,1.169223062714187
2.7596,1.55,1.046,0.858,0.968,1.078589988723832
2.7596,1.6,1.042,0.876,0.966,1.0582914837115136
2.7596,1.65,1.045,0.862,0.971,1.0779426947457231
2.7596,1.7,1.018,0.851,0.969,1.1185269150589043
2.7596,1.75,1.045,0.887,0.969,1.045403300194732
2.7596,1.8,1.037,0.9,0.966,1.0350369656059146
2.7596,1.85,1.031,0.896,0.967,1.046790563946238
2.7596,1.9,1.029,0.898,0.967,1.0464892288445764
2.7596,1.95,1.029,0.903,0.967,1.0406947148421146
2.7596,2.0,1.034,0.91,0.966,1.0266329415265585
2.7596,2.05,1.028,0.917,0.965,1.0236815194191853
2.7596,2.1,1.026,0.924,0.965,1.0179067196611056
2.7596,2.15,1.028,0.932,0.966,1.0082496952288704
2.7596,2.2,1.032,0.941,0.964,0.9926764369094399
2.7596,2.25,1.024,0.948,0.964,0.9930445675105486
2.7596,2.3,1.027,0.954,0.964,0.9839164365077908
2.7596,2.35,1.028,0.961,0.965,0.9768116059390145
2.7596,2.4,1.024,0.969,0.964,0.9715234778121774
2.7596,2.45,1.025,0.978,0.963,0.9606464162801138
2.7596,2.5,1.022,0.986,0.963,0.9556491467630982
3.24,1.15,1.071,0.889,0.95,0.9977744378591332
3.24,1.2,1.007,0.779,0.957,1.2199583658931765
3.24,1.25,1.027,0.801,0.965,1.1730711488925114
3.24,1.3,1.033,0.839,0.964,1.1122815964702368
3.24,1.35,1.036,0.844,0.967,1.105921425826639
3.24,1.4,1.031,0.833,0.963,1.1213020610766131
3.24,1.45,1.031,0.814,0.965,1.1498580848726339
3.24,1.5,1.004,0.814,0.969,1.185674990455867
3.24,1.55,1.029,0.85,0.968,1.1067284056479736
3.24,1.6,1.027,0.867,0.967,1.0860177738544872
3.24,1.65,1.026,0.855,0.969,1.1046133853151396
3.24,1.7,1.005,0.845,0.968,1.1398628160970297
3.24,1.75,1.026,0.878,0.966,1.0723467743009762
3.24,1.8,1.026,0.892,0.966,1.0555162195473737
3.24,1.85,1.02,0.889,0.965,1.0642052096429122
3.24,1.9,1.014,0.89,0.967,1.0715156350419963
3.24,1.95,1.016,0.896,0.967,1.0622451490438694
3.24,2.0,1.02,0.902,0.964,1.0477805312812485
3.24,2.05,1.02,0.908,0.966,1.0430163254729203
3.24,2.1,1.014,0.915,0.964,1.039005830935213
3.24,2.15,1.017,0.922,0.968,1.032341730708114
3.24,2.2,1.011,0.93,0.964,1.0252810482541506
3.24,2.25,1.015,0.938,0.966,1.0146312771119772
3.24,2.3,1.012,0.943,0.964,1.0101475821426027
3.24,2.35,1.009,0.95,0.965,1.0067289134630433
3.24,2.4,1.012,0.958,0.963,0.9932996113444511
3.24,2.45,1.009,0.966,0.967,0.9921062405226667
3.24,2.5,1.01,0.975,0.967,0.981975120588982
3.785,1.15,1.078,0.898,0.953,0.984459384077583
3.785,1.2,1.019,0.783,0.963,1.2069529513947639
3.785,1.25,1.028,0.801,0.965,1.1719300290978687
3.785,1.3,1.035,0.834,0.961,1.1133122487517233
3.785,1.35,1.038,0.836,0.966,1.1132007633376664
3.785,1.4,1.035,0.825,0.966,1.1313131313131313
3.785,1.45,1.035,0.809,0.966,1.1536876802637
3.785,1.5,1.003,0.809,0.97,1.1954248502946043
3.785,1.55,1.028,0.843,0.969,1.118157774485232
3.785,1.6,1.028,0.86,0.971,1.098316894398697
3.785,1.65,1.033,0.849,0.971,1.1071621188642866
3.785,1.7,1.006,0.839,0.974,1.153981948594488
3.785,1.75,1.026,0.871,0.969,1.0843219798443677
3.785,1.8,1.026,0.886,0.966,1.0626641849167688
3.785,1.85,1.019,0.882,0.965,1.0737039336506602
3.785,1.9,1.017,0.884,0.967,1.0756060990313985
3.785,1.95,1.019,0.889,0.965,1.0652495719683717
3.785,2.0,1.018,0.894,0.966,1.0614311520154005
3.785,2.05,1.019,0.902,0.966,1.0509847269942054
3.785,2.1,1.02,0.907,0.967,1.0452472058283069
3.785,2.15,1.015,0.914,0.964,1.039117827769454
3.785,2.2,1.015,0.922,0.966,1.0322387613134865
3.785,2.25,1.016,0.929,0.966,1.0234525312968816
3.785,2.3,1.015,0.935,0.967,1.0189404915571243
3.785,2.35,1.015,0.941,0.966,1.0113965334017372
3.785,2.4,1.015,0.948,0.968,1.0060069422793125
3.785,2.45,1.015,0.956,0.967,0.9965579075375642
3.785,2.5,1.014,0.964,0.967,0.9892623601528804
4.43,1.15,1.074,0.912,0.959,0.9790829494593092
4.43,1.2,1.016,0.789,0.964,1.202558805624582
4.43,1.25,1.037,0.802,0.965,1.1603104100885684
4.43,1.3,1.042,0.83,0.963,1.1134750132969498
4.43,1.35,1.037,0.83,0.961,1.116520082257671
4.43,1.4,1.038,0.82,0.964,1.132572019361812
4.43,1.45,1.041,0.805,0.973,1.1610909242784948
4.43,1.5,1.009,0.805,0.966,1.189296333002973
4.43,1.55,1.034,0.838,0.972,1.1217645402381093
4.43,1.6,1.035,0.853,0.974,1.1032389237190705
4.43,1.65,1.034,0.844,0.971,1.1126440364113046
4.43,1.7,1.009,0.834,0.967,1.1491302498140241
4.43,1.75,1.03,0.865,0.968,1.086480722823952
4.43,1.8,1.03,0.877,0.97,1.073828475274269
4.43,1.85,1.021,0.876,0.971,1.0856488624725513
4.43,1.9,1.019,0.879,0.968,1.0807177841712803
4.43,1.95,1.022,0.883,0.967,1.0715560057001903
4.43,2.0,1.02,0.889,0.967,1.0664108162950219
