Q2	W	RC_misak	BCC_misak	RC_christy	BCC_christy	ET
2.77	1.2	1.251	0.995109690965406	1.352	1.015	0.965
2.77	1.25	1.217	0.9744732296306676	1.252	0.969	0.968
2.77	1.3	1.159	0.9680343087234128	1.192	0.965	0.963
2.77	1.35	1.149	0.970988926357389	1.204	0.975	0.96
2.77	1.4	1.157	0.9717739317499964	1.22	0.972	0.962
2.77	1.45	1.182	0.959977216856916	1.267	0.956	0.967
2.77	1.5	1.217	1.0203900450748211	1.294	1.029	0.968
2.77	1.55	1.156	0.9661067226259188	1.186	0.962	0.965
2.77	1.6	1.129	0.9722191595143906	1.168	0.971	0.964
2.77	1.65	1.148	0.9744524134972036	1.211	0.972	0.965
2.77	1.7	1.166	0.9992610322631352	1.216	1.004	0.968
2.77	1.75	1.125	0.9805878299068472	1.153	0.974	0.965
2.77	1.8	1.098	0.9811075108110796	1.138	0.98	0.964
2.77	1.85	1.102	0.9822107246315634	1.137	0.983	0.962
2.77	1.9	1.1	0.9812602825150126	1.132	0.984	0.964
2.77	1.95	1.093	0.984907969503294	1.121	0.984	0.964
2.77	2.0	1.086	0.9904231296087692	1.108	0.984	0.961
2.77	2.05	1.078	0.9856514933850604	1.097	0.985	0.961
2.77	2.1	1.071	0.986994624198252	1.087	0.985	0.961
2.77	2.15	1.063	0.985763146963059	1.079	0.986	0.962
2.77	2.2	1.055	0.9901667635852612	1.071	0.986	0.958
2.77	2.25	1.047	0.983750349855705	1.063	0.987	0.96
2.77	2.3	1.042	0.9866731444462296	1.055	0.987	0.96
2.77	2.35	1.035	0.9908017485108256	1.047	0.988	0.961
2.77	2.4	1.027	0.9898838029327884	1.039	0.988	0.961
2.77	2.45	1.019	0.98612439697859	1.03	0.988	0.96
3.24	1.2	1.247	0.9884232208905684	1.353	1.013	0.954
3.24	1.25	1.219	0.9729599340615718	1.258	0.968	0.964
3.24	1.3	1.168	0.9662201563586617	1.206	0.965	0.96
3.24	1.35	1.16	0.9778272713229552	1.22	0.975	0.962
3.24	1.4	1.168	0.9724880849898944	1.233	0.971	0.959
3.24	1.45	1.191	0.9566679620436848	1.277	0.956	0.961
3.24	1.5	1.224	1.0174998655723244	1.301	1.027	0.967
3.24	1.55	1.164	0.9662742622044797	1.194	0.962	0.964
3.24	1.6	1.138	0.9709034297833558	1.178	0.97	0.964
3.24	1.65	1.156	0.9725392949502016	1.218	0.971	0.965
3.24	1.7	1.174	0.9969695419774268	1.223	1.003	0.963
3.24	1.75	1.134	0.9798189425131114	1.162	0.973	0.967
3.24	1.8	1.106	0.9795335065084344	1.147	0.979	0.962
3.24	1.85	1.11	0.9784068165607904	1.147	0.982	0.961
3.24	1.9	1.107	0.9847054603239674	1.141	0.983	0.964
3.24	1.95	1.101	0.9778573576832222	1.131	0.983	0.963
3.24	2.0	1.095	0.9809753135663164	1.119	0.984	0.963
3.24	2.05	1.088	0.9817863967398728	1.108	0.984	0.964
3.24	2.1	1.081	0.9832893722161082	1.099	0.985	0.961
3.24	2.15	1.073	0.9819716518594932	1.091	0.985	0.963
3.24	2.2	1.065	0.990103672880042	1.083	0.986	0.963
3.24	2.25	1.057	0.983577788532815	1.075	0.986	0.962
3.24	2.3	1.052	0.982643284371664	1.067	0.987	0.961
3.24	2.35	1.046	0.9908465752797244	1.059	0.987	0.961
3.24	2.4	1.037	0.9844764736764468	1.051	0.987	0.961
3.24	2.45	1.029	0.9904572307905504	1.043	0.988	0.965
3.785	1.2	1.24	0.987665152723326	1.355	1.01	0.964
3.785	1.25	1.219	0.972357829099636	1.264	0.966	0.963
3.785	1.3	1.175	0.9663437048331832	1.219	0.963	0.954
3.785	1.35	1.171	0.9712634225888104	1.234	0.973	0.966
3.785	1.4	1.18	0.9684668746539916	1.244	0.969	0.958
3.785	1.45	1.199	0.9568793036588432	1.284	0.954	0.965
3.785	1.5	1.23	1.009034364714012	1.305	1.022	0.964
3.785	1.55	1.172	0.9642163970740032	1.201	0.96	0.966
3.785	1.6	1.146	0.968648526814992	1.186	0.968	0.97
3.785	1.65	1.163	0.9698515172217164	1.224	0.968	0.968
3.785	1.7	1.18	0.9932514020402066	1.228	0.999	0.969
3.785	1.75	1.141	0.9765780527754364	1.169	0.971	0.966
3.785	1.8	1.114	0.97428692633583	1.156	0.977	0.964
3.785	1.85	1.117	0.9806033362240364	1.155	0.979	0.96
3.785	1.9	1.114	0.9802657355764344	1.149	0.981	0.963
3.785	1.95	1.108	0.9810605148013014	1.14	0.981	0.962
3.785	2.0	1.102	0.9793217064763248	1.129	0.981	0.961
3.785	2.05	1.096	0.9828537103343736	1.119	0.982	0.963
3.785	2.1	1.089	0.9802348277204498	1.11	0.983	0.964
3.785	2.15	1.082	0.9850408018070316	1.102	0.983	0.963
3.785	2.2	1.073	0.984971297330909	1.094	0.984	0.96
3.785	2.25	1.066	0.9826382143212516	1.086	0.984	0.962
3.785	2.3	1.061	0.9815556919726176	1.078	0.985	0.964
3.785	2.35	1.055	0.9839149441731158	1.07	0.985	0.963
3.785	2.4	1.047	0.985462578934104	1.062	0.986	0.965
3.785	2.45	1.039	0.9862591638926904	1.054	0.986	0.963
4.43	1.2	1.231	0.976963799795316	1.357	1.005	0.96
4.43	1.25	1.218	0.9706401048888804	1.27	0.963	0.958
4.43	1.3	1.18	0.9616012850413032	1.231	0.961	0.951
4.43	1.35	1.179	0.9653931822751092	1.246	0.971	0.962
4.43	1.4	1.188	0.9646059008099994	1.254	0.967	0.962
4.43	1.45	1.206	0.9565355820468217	1.289	0.951	0.966
4.43	1.5	1.235	1.0078070158875811	1.307	1.017	0.965
4.43	1.55	1.179	0.957954953856828	1.207	0.958	0.966
4.43	1.6	1.154	0.9636615179677508	1.193	0.966	0.969
4.43	1.65	1.169	0.960895228511766	1.228	0.965	0.968
4.43	1.7	1.186	0.9893663090985026	1.231	0.994	0.964
4.43	1.75	1.148	0.9757914092130204	1.176	0.969	0.966
4.43	1.8	1.125	0.972337993877328	1.164	0.974	0.965
4.43	1.85	1.124	0.9767112388851718	1.162	0.977	0.967
4.43	1.9	1.121	0.9785852883862364	1.157	0.978	0.964
4.43	1.95	1.114	0.980548368037469	1.148	0.978	0.963
4.43	2.0	1.109	0.9795503222737688	1.137	0.979	0.967
4.43	2.05	1.102	0.9789646102019804	1.128	0.979	0.961
4.43	2.1	1.096	0.9788578480466228	1.119	0.98	0.963
4.43	2.15	1.089	0.9818042078395154	1.111	0.981	0.966
4.43	2.2	1.081	0.9782518876133328	1.103	0.981	0.965
4.43	2.25	1.074	0.9832299791944306	1.096	0.982	0.963
4.43	2.3	1.068	0.982150675983219	1.088	0.982	0.966
4.43	2.35	1.063	0.9795342120063084	1.08	0.983	0.963
4.43	2.4	1.055	0.98261489711664	1.072	0.983	0.962
4.43	2.45	1.047	0.9832124089519818	1.063	0.984	0.963
5.185	1.2	1.218	0.9727773064986024	1.356	1.003	0.951
5.185	1.25	1.214	0.9610199603914352	1.274	0.961	0.962
5.185	1.3	1.185	0.956773457611869	1.242	0.96	0.951
5.185	1.35	1.185	0.9660524113361448	1.257	0.969	0.964
5.185	1.4	1.194	0.9613921237192796	1.261	0.965	0.957
5.185	1.45	1.212	0.947769693356166	1.292	0.95	0.964
5.185	1.5	1.239	1.0061973059545894	1.307	1.012	0.965
5.185	1.55	1.184	0.9549507095528196	1.212	0.956	0.966
5.185	1.6	1.159	0.9622088339459648	1.198	0.964	0.965
5.185	1.65	1.177	0.9587725196468112	1.23	0.963	0.969
5.185	1.7	1.191	0.9880983291703924	1.233	0.99	0.968
5.185	1.75	1.156	0.9747223960498178	1.183	0.967	0.969
5.185	1.8	1.133	0.9696570771850248	1.171	0.972	0.965
5.185	1.85	1.133	0.9742159554977504	1.17	0.975	0.967
5.185	1.9	1.126	0.9767983236262152	1.164	0.976	0.967
5.185	1.95	1.119	0.9776036864129064	1.155	0.977	0.965
5.185	2.0	1.115	0.9768017214587164	1.145	0.977	0.964
5.185	2.05	1.11	0.974451302230307	1.136	0.978	0.965
5.185	2.1	1.103	0.9796067543302692	1.127	0.978	0.965
5.185	2.15	1.096	0.9768911093578132	1.119	0.979	0.964
5.185	2.2	1.088	0.980205671875504	1.111	0.98	0.965
5.185	2.25	1.081	0.977342232520042	1.104	0.98	0.966
5.185	2.3	1.075	0.9798799490619702	1.096	0.981	0.966
5.185	2.35	1.069	0.9799105713562952	1.088	0.981	0.965
5.185	2.4	1.062	0.9827030468115604	1.079	0.982	0.965
5.185	2.45	1.054	0.9823101446483952	1.071	0.982	0.965
6.06	1.2	1.203	0.9696023593884012	1.353	0.998	0.951
6.06	1.25	1.208	0.9614204888546868	1.277	0.958	0.962
6.06	1.3	1.187	0.9591224169379384	1.251	0.958	0.951
6.06	1.35	1.189	0.9607218932084388	1.266	0.967	0.964
6.06	1.4	1.198	0.9611032720665756	1.267	0.963	0.957
6.06	1.45	1.215	0.9525239348066348	1.292	0.949	0.964
6.06	1.5	1.241	1.0019613139105752	1.305	1.007	0.965
6.06	1.55	1.188	0.9544799383768232	1.215	0.955	0.966
6.06	1.6	1.163	0.9621178804755078	1.202	0.962	0.965
6.06	1.65	1.18	0.9618777281274552	1.228	0.962	0.969
6.06	1.7	1.194	0.9861142055559944	1.231	0.983	0.968
6.06	1.75	1.163	0.9727455430225628	1.189	0.966	0.969
6.06	1.8	1.136	0.9704659579316388	1.18	0.97	0.965
6.06	1.85	1.136	0.9714170802837252	1.177	0.973	0.967
6.06	1.9	1.131	0.9758721871440804	1.171	0.974	0.967
6.06	1.95	1.122	0.9743930791587828	1.161	0.974	0.965
6.06	2.0	1.123	0.9734504279727284	1.151	0.975	0.964
6.06	2.05	1.122	0.9752042087041942	1.142	0.976	0.965
6.06	2.1	1.117	0.9783802346960732	1.133	0.976	0.965
6.06	2.15	1.109	0.9778247674064824	1.125	0.977	0.964
6.06	2.2	1.1	0.9769688552321166	1.117	0.978	0.965
6.06	2.25	1.092	0.9793099244066472	1.109	0.978	0.966
6.06	2.3	1.086	0.9784101854172994	1.101	0.979	0.966
6.06	2.35	1.08	0.9790148069573488	1.093	0.979	0.965
6.06	2.4	1.073	0.9791982503811149	1.085	0.98	0.965
6.06	2.45	1.066	0.9791838340057852	1.076	0.98	0.965
7.085	1.2	1.185	0.9622592681904464	1.345	0.993	0.951
7.085	1.25	1.201	0.959161623456771	1.278	0.953	0.962
7.085	1.3	1.186	0.9562468981503351	1.259	0.955	0.951
7.085	1.35	1.191	0.957583607190426	1.273	0.964	0.964
7.085	1.4	1.2	0.9567620842239456	1.27	0.96	0.957
7.085	1.45	1.217	0.9470324387866872	1.29	0.947	0.964
7.085	1.5	1.241	0.9957810145811548	1.301	1.0	0.965
7.085	1.55	1.19	0.9529284365149366	1.216	0.952	0.966
7.085	1.6	1.165	0.958307277387102	1.203	0.959	0.965
7.085	1.65	1.181	0.9588791771000306	1.222	0.958	0.969
7.085	1.7	1.194	0.9787458458221656	1.224	0.973	0.968
7.085	1.75	1.164	0.9674682587715134	1.195	0.963	0.969
7.085	1.8	1.138	0.9661641878636104	1.188	0.967	0.965
7.085	1.85	1.137	0.9682063264376018	1.184	0.969	0.967
7.085	1.9	1.132	0.9709588628647844	1.176	0.971	0.967
7.085	1.95	1.123	0.9711585237362236	1.166	0.971	0.965
7.085	2.0	1.123	0.9689414961152774	1.155	0.972	0.964
7.085	2.05	1.123	0.9718941102545728	1.146	0.972	0.965
7.085	2.1	1.118	0.973348524638749	1.137	0.973	0.965
7.085	2.15	1.11	0.972778042882073	1.129	0.973	0.964
7.085	2.2	1.101	0.9747345328835704	1.12	0.974	0.965
7.085	2.25	1.093	0.9716518063821752	1.112	0.975	0.966
7.085	2.3	1.088	0.9752087054169551	1.104	0.975	0.966
7.085	2.35	1.083	0.9757611144139344	1.096	0.976	0.965
7.085	2.4	1.077	0.9767455298963243	1.087	0.976	0.965
7.085	2.45	1.07	0.978667786981406	1.078	0.977	0.965
8.29	1.2	1.165	0.9591742567106688	1.332	0.986	0.951
8.29	1.25	1.191	0.9574376408368312	1.276	0.949	0.962
8.29	1.3	1.183	0.9546963093282826	1.266	0.952	0.951
8.29	1.35	1.189	0.9533083331121612	1.278	0.962	0.964
8.29	1.4	1.198	0.9555249628774088	1.272	0.958	0.957
8.29	1.45	1.215	0.9432491448212192	1.287	0.945	0.964
8.29	1.5	1.239	0.9959298304102132	1.295	0.995	0.965
8.29	1.55	1.19	0.9525849761553322	1.216	0.951	0.966
8.29	1.6	1.165	0.9561843474525028	1.202	0.957	0.965
8.29	1.65	1.18	0.9543522942484562	1.213	0.957	0.969
